epi_week,disease,no._of_cases
2012-W01,Acute Viral hepatitis B,0
2012-W01,Acute Viral hepatitis C,0
2012-W01,Avian Influenza,0
2012-W01,Campylobacterenterosis,6
2012-W01,Chikungunya Fever,0
2012-W01,Cholera,0
2012-W01,Dengue Fever,74
2012-W01,Dengue Haemorrhagic Fever,0
2012-W01,Diphtheria,0
2012-W01,Encephalitis,0
2012-W01,Haemophilus influenzae type b,0
2012-W01,"Hand, Foot Mouth Disease",326
2012-W01,Legionellosis,0
2012-W01,Malaria,1
2012-W01,Measles,2
2012-W01,Melioidosis,0
2012-W01,Meningococcal Infection,0
2012-W01,Mumps,11
2012-W01,Nipah virus infection,0
2012-W01,Paratyphoid,1
2012-W01,Pertussis,2
2012-W01,Plague,0
2012-W01,Pneumococcal Disease (invasive),3
2012-W01,Poliomyelitis,0
2012-W01,Rubella,1
2012-W01,Salmonellosis(non-enteric fevers),26
2012-W01,SARS,0
2012-W01,Typhoid,6
2012-W01,Viral Hepatitis A,1
2012-W01,Viral Hepatitis E,3
2012-W01,Yellow Fever,0
2012-W02,Acute Viral hepatitis B,0
2012-W02,Acute Viral hepatitis C,0
2012-W02,Avian Influenza,0
2012-W02,Campylobacterenterosis,7
2012-W02,Chikungunya Fever,1
2012-W02,Cholera,0
2012-W02,Dengue Fever,64
2012-W02,Dengue Haemorrhagic Fever,2
2012-W02,Diphtheria,0
2012-W02,Encephalitis,0
2012-W02,Haemophilus influenzae type b,0
2012-W02,"Hand, Foot Mouth Disease",346
2012-W02,Legionellosis,0
2012-W02,Malaria,2
2012-W02,Measles,1
2012-W02,Melioidosis,1
2012-W02,Meningococcal Infection,0
2012-W02,Mumps,10
2012-W02,Nipah virus infection,0
2012-W02,Paratyphoid,1
2012-W02,Pertussis,0
2012-W02,Plague,0
2012-W02,Pneumococcal Disease (invasive),3
2012-W02,Poliomyelitis,0
2012-W02,Rubella,2
2012-W02,Salmonellosis(non-enteric fevers),24
2012-W02,SARS,0
2012-W02,Typhoid,3
2012-W02,Viral Hepatitis A,2
2012-W02,Viral Hepatitis E,0
2012-W02,Yellow Fever,0
2012-W03,Acute Viral hepatitis B,0
2012-W03,Acute Viral hepatitis C,0
2012-W03,Avian Influenza,0
2012-W03,Campylobacterenterosis,9
2012-W03,Chikungunya Fever,1
2012-W03,Cholera,0
2012-W03,Dengue Fever,60
2012-W03,Dengue Haemorrhagic Fever,1
2012-W03,Diphtheria,0
2012-W03,Encephalitis,3
2012-W03,Haemophilus influenzae type b,0
2012-W03,"Hand, Foot Mouth Disease",463
2012-W03,Legionellosis,0
2012-W03,Malaria,2
2012-W03,Measles,2
2012-W03,Melioidosis,1
2012-W03,Meningococcal Infection,0
2012-W03,Mumps,15
2012-W03,Nipah virus infection,0
2012-W03,Paratyphoid,1
2012-W03,Pertussis,5
2012-W03,Plague,0
2012-W03,Pneumococcal Disease (invasive),3
2012-W03,Poliomyelitis,0
2012-W03,Rubella,4
2012-W03,Salmonellosis(non-enteric fevers),21
2012-W03,SARS,0
2012-W03,Typhoid,5
2012-W03,Viral Hepatitis A,3
2012-W03,Viral Hepatitis E,0
2012-W03,Yellow Fever,0
2012-W04,Acute Viral hepatitis B,1
2012-W04,Acute Viral hepatitis C,0
2012-W04,Avian Influenza,0
2012-W04,Campylobacterenterosis,8
2012-W04,Chikungunya Fever,0
